NTP,Polymerised Nucleotide,Exhausted Nucleotide,tRNA,Amino Acids,Creatine_Phosphate,Pyrophosphate,Creatine,TL Enzymes,Modelled Final Protein,Round #,Pred for Model #: 1,Pred for Model #: 2,Pred for Model #: 3,Pred for Model #: 4,Pred for Model #: 5,Pred for Model #: 6,Pred for Model #: 7,Pred for Model #: 8,Pred for Model #: 9,Pred for Model #: 10,Pred for Model #: 11,Pred for Model #: 12,Pred for Model #: 13,Pred for Model #: 14,Pred for Model #: 15,Pred for Model #: 16,Pred for Model #: 17,Pred for Model #: 18,Pred for Model #: 19,Pred for Model #: 20,Pred for Model #: 21,Pred for Model #: 22,Pred for Model #: 23,Pred for Model #: 24,Pred for Model #: 25,Predicted Mean,StdDev
3000.0,0.35,0.35,4.0,600.0,1500.0,0.4,1.0,3.0,237.610752434192,1,19.67524,82.74389,39.84443,44.815685,47.28982,32.16416,10.685561,38.972454,114.17599,21.158604,63.07999,22.711042,42.62878,76.028435,45.59837,54.343884,89.30881,40.20184,40.735764,69.55509,16.656889,73.90632,56.121872,27.184134,39.593845,48.367237,25.118921
2700.0,0.3,0.4,5.0,420.0,3500.0,0.8,0.8,4.199999999999999,379.29238301940507,1,20.383085,90.97873,46.277924,44.86407,46.15754,34.616413,11.421568,40.057533,109.92469,22.224415,69.173325,21.41162,55.387596,83.039604,42.865803,56.32348,87.92039,40.033485,40.659008,71.52697,18.48119,61.58534,57.692455,29.461374,36.89093,49.574345,25.04832
3000.0,0.25,0.4,2.5,540.0,1000.0,0.9,1.0,3.0,206.97935306406163,1,18.063868,85.47896,36.231213,46.66976,48.16637,31.586628,10.61875,38.81332,113.05479,20.025229,62.445034,21.606256,47.19657,74.91587,36.97193,59.774338,77.867836,41.847614,42.693733,67.1394,16.140171,76.85895,54.999454,28.57741,40.900677,47.945766,24.787867
2700.0,0.25,0.15,5.0,480.0,1500.0,0.8,1.0,6.0,480.7999999997652,1,21.614006,83.504906,43.291378,43.86374,50.376938,31.736626,11.036451,42.79328,113.79753,22.822231,71.38166,25.458454,48.20976,75.22522,44.114746,55.94311,93.75282,41.127792,41.1747,69.27225,17.607979,67.469864,57.09157,31.312191,36.38416,49.614532,24.891811
2100.0,0.2,0.35,4.0,480.0,2500.0,1.0,1.0,1.7999999999999998,151.68290542708758,1,18.567667,83.35067,41.20878,45.168255,45.036064,31.316757,10.236727,38.901043,113.04832,21.304962,59.288345,23.024559,46.84591,75.87075,36.384827,62.083813,81.69705,41.625057,36.573814,62.305378,17.713705,67.10307,57.312134,28.49526,37.90322,47.294632,24.257906
1200.0,0.45,0.35,5.0,540.0,500.0,1.0,0.9,0.6000000000000001,53.52983515153877,1,19.540152,80.426346,35.40465,42.75752,44.21697,31.202425,9.506215,37.97367,110.88079,20.161917,52.688107,28.865776,43.451775,82.77911,37.415165,65.66324,83.76697,42.265987,39.09373,63.011684,19.10932,74.7474,56.72077,29.362597,36.497623,47.5004,24.50686
1800.0,0.3,0.4,3.0,540.0,3000.0,0.8,1.0,4.199999999999999,308.41072601818854,1,18.270144,85.51126,42.19444,46.67242,46.93566,32.06597,10.966241,38.708755,112.03081,20.462534,65.86367,20.723059,51.287247,79.61519,39.95302,52.886543,82.10409,43.32113,38.322372,66.50799,17.334072,66.319115,59.828087,26.558414,37.735893,48.087124,24.716404
300.0,0.5,0.5,1.5,540.0,4000.0,1.0,1.0,5.4,308.7380211829264,1,17.985521,87.096695,42.361454,48.502327,47.304844,33.24142,11.968843,37.680786,110.9486,19.139875,70.66128,20.96554,60.243515,91.83754,40.029987,51.757637,87.47234,49.23934,42.17399,69.52319,19.351452,64.3225,66.23559,24.858915,38.069687,50.11891,26.038406
1800.0,0.3,0.15,5.0,540.0,1500.0,0.8,1.0,4.199999999999999,375.02242229097664,1,19.8993,78.616684,41.29111,42.505264,47.272545,30.337353,10.245482,40.3965,111.1437,21.76138,63.90423,27.160187,44.43801,74.21348,41.639843,55.786804,88.81604,41.059284,36.725086,64.414986,17.938572,67.01587,56.68619,29.103174,35.418663,47.511585,23.911781
2700.0,0.2,0.2,4.5,300.0,4000.0,1.0,1.0,3.0,264.76177451232803,1,20.270725,83.73769,47.89843,41.866737,41.461296,31.369095,11.083729,40.28563,110.6614,22.661419,68.5093,23.65563,51.93284,75.00064,41.1177,55.124706,92.6014,41.23994,37.754974,64.5886,19.079552,56.582634,57.90172,29.208414,37.733826,48.133114,24.265106
300.0,0.5,0.5,5.0,420.0,0.0,0.9,1.0,0.0,0.0,1,19.675465,72.62621,36.4074,43.750916,43.390865,30.025372,8.91734,38.900707,110.50899,18.58176,46.414814,27.311546,39.237095,89.57048,37.65637,64.10367,87.1436,43.519432,40.91378,60.32876,19.371855,73.36558,59.434452,27.942389,33.385006,46.89935,24.853033
3000.0,0.2,0.25,2.5,420.0,5000.0,0.9,1.0,1.7999999999999998,125.04803764071228,1,18.403315,85.784195,44.212242,42.322205,39.029114,31.15453,11.518859,37.34778,109.20161,21.513996,67.1495,20.823944,53.642815,70.76752,40.510452,52.034912,84.74546,41.515102,40.238396,64.50091,18.067629,58.083492,56.63941,25.47656,41.36965,47.042145,23.856466
3000.0,0.05,0.2,4.5,300.0,4000.0,1.0,1.0,2.4000000000000004,211.9493715411102,1,19.265522,84.08949,48.366837,42.09933,41.68467,30.383411,10.7040205,39.512417,109.63549,22.990635,65.2085,22.118742,49.299507,68.809456,38.6567,58.039845,89.41025,38.84574,35.6233,61.06221,17.680117,56.86612,54.85745,29.171537,37.28104,46.86649,23.79964
2700.0,0.4,0.2,3.0,540.0,3500.0,0.6,1.0,1.7999999999999998,128.78931627332372,1,18.97608,80.42833,38.33548,40.55492,39.767906,30.799911,11.112119,36.96117,108.40879,20.79143,64.11412,24.725376,47.342354,71.99516,43.743587,49.611015,88.98043,41.40939,40.519493,66.71086,18.273941,63.15749,56.5805,24.282059,41.649273,46.76925,23.767727
3000.0,0.3,0.15,4.0,300.0,1500.0,1.0,1.0,3.6,300.2856014494296,1,20.171522,77.174355,39.469944,40.484592,42.877113,29.915392,10.64545,40.046734,108.3592,21.074898,66.52748,26.310656,46.81889,74.15838,40.032352,55.630955,90.01005,40.87579,42.881653,65.84839,18.119738,64.02512,54.508648,30.003338,37.983784,47.358177,23.560427
2400.0,0.2,0.5,5.0,480.0,2500.0,0.9,0.6,2.4000000000000004,217.99298893061749,1,18.285301,90.52156,39.897472,43.750538,44.782406,33.561707,10.07545,35.90809,100.55445,20.364979,58.689907,19.071762,52.414948,77.189384,34.356388,63.05643,70.397514,35.175446,38.55993,64.56323,16.400143,65.35833,50.0477,28.63162,34.040737,45.826218,23.38508
900.0,0.4,0.4,4.5,600.0,3000.0,1.0,0.6,5.4,472.45825223959935,1,19.00587,92.142685,39.296993,44.21867,47.12199,34.00392,11.335448,37.065784,100.43545,20.426184,65.80365,23.354303,60.242863,83.44133,37.885418,55.883877,77.68789,40.411655,42.167557,69.07363,17.849615,63.25216,55.74629,28.071844,32.52529,47.93802,23.978848
2400.0,0.1,0.5,1.0,540.0,5000.0,1.0,0.8,3.6,179.4416804259204,1,15.342546,93.97499,43.692165,46.93463,43.354477,32.002766,11.149156,35.11352,103.25813,18.99559,66.215675,13.943958,60.25313,73.64839,34.072758,53.7236,63.124866,39.229496,41.43381,63.751354,15.859798,61.87361,53.62072,24.41319,38.50915,45.89966,23.990086
2400.0,0.25,0.4,5.0,300.0,4500.0,0.5,1.0,0.0,0.0,1,19.946432,77.45477,48.26966,41.771732,37.242878,30.888504,10.260712,36.327175,108.62919,21.358706,57.54472,20.631313,42.817272,77.12811,42.199825,54.856026,92.46826,38.400177,34.108757,61.621185,18.71433,52.995293,57.483715,24.47468,36.700825,45.771774,23.998137
3000.0,0.35,0.3,1.5,360.0,2500.0,1.0,1.0,4.800000000000001,276.2217022509975,1,18.692463,83.02442,37.971077,43.612736,43.87092,31.20818,11.497646,38.596874,107.30344,19.533302,72.56407,21.340284,54.60875,77.389854,39.413036,49.53533,81.690315,43.877186,45.639973,69.445915,17.374931,65.58902,56.78815,27.407291,40.799557,47.950993,24.124779
