NTP,Polymerised Nucleotide,Exhausted Nucleotide,tRNA,Amino Acids,Creatine_Phosphate,Pyrophosphate,Creatine,TL Enzymes,Modelled Final Protein,Round #,Pred for Model #: 1,Pred for Model #: 2,Pred for Model #: 3,Pred for Model #: 4,Pred for Model #: 5,Pred for Model #: 6,Pred for Model #: 7,Pred for Model #: 8,Pred for Model #: 9,Pred for Model #: 10,Pred for Model #: 11,Pred for Model #: 12,Pred for Model #: 13,Pred for Model #: 14,Pred for Model #: 15,Pred for Model #: 16,Pred for Model #: 17,Pred for Model #: 18,Pred for Model #: 19,Pred for Model #: 20,Pred for Model #: 21,Pred for Model #: 22,Pred for Model #: 23,Pred for Model #: 24,Pred for Model #: 25,Predicted Mean,StdDev
2700.0,0.35,0.1,0.0,0.0,3000.0,0.6,0.9,5.4,0.6000000058930813,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800.0,0.35,0.3,4.0,420.0,2000.0,0.0,0.9,5.4,405.38588079787496,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.5,0.05,4.5,120.0,2000.0,1.0,0.5,6.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,0.1,0.1,2.0,240.0,1500.0,0.5,0.8,3.6,200.66675638512825,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400.0,0.05,0.3,3.5,360.0,4000.0,0.3,0.8,4.800000000000001,353.4070088868981,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.0,0.45,0.15,2.5,360.0,5000.0,0.6,0.9,3.6,236.1625836044985,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.35,0.45,0.0,300.0,2000.0,0.7,0.8,3.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.25,0.35,1.0,360.0,0.0,0.2,0.6,4.199999999999999,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
900.0,0.0,0.2,2.5,360.0,2500.0,0.7,0.7,1.7999999999999998,119.44423315477968,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400.0,0.3,0.3,1.0,480.0,1500.0,0.9,0.6,2.4000000000000004,114.651334015682,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,0.0,0.5,0.5,540.0,3000.0,0.2,0.2,6.0,129.98822463244178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500.0,0.3,0.15,0.0,600.0,4000.0,0.8,0.8,3.0,73.37806780477821,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700.0,0.3,0.4,2.0,420.0,0.0,1.0,0.1,3.0,190.98059154983696,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.4,0.2,3.5,300.0,1000.0,1.0,0.4,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.0,0.0,0.05,0.0,480.0,4000.0,0.1,0.8,6.0,21.072852164193986,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,0.5,0.45,4.5,480.0,5000.0,0.8,0.4,2.4000000000000004,207.34971935088728,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100.0,0.35,0.0,3.0,0.0,2500.0,0.7,0.5,3.0,0.7000000177689333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700.0,0.5,0.05,3.0,300.0,2500.0,0.5,0.9,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
