NTP,tRNA,Amino Acids,Creatine_Phosphate,TL Enzymes,Modelled Final Protein,Round #
300.0,2.0,480.0,500.0,3.0,121.41377130340295,1
1500.0,2.5,600.0,1000.0,3.0,170.03347039622366,1
3000.0,1.5,540.0,500.0,5.4,216.4622160618828,1
2400.0,4.0,480.0,500.0,4.199999999999999,313.3096417704,1
1800.0,5.0,600.0,1000.0,3.0,249.82200709188936,1
900.0,2.0,420.0,500.0,5.4,249.73973733663567,1
2100.0,4.0,600.0,1000.0,4.199999999999999,313.8422820311061,1
2100.0,5.0,600.0,1000.0,6.0,499.1836636556918,1
1200.0,2.0,540.0,1000.0,0.6000000000000001,29.31393634209856,1
300.0,3.0,600.0,1000.0,1.7999999999999998,110.47251481057168,1
600.0,4.0,420.0,500.0,4.800000000000001,254.84933896232985,1
300.0,0.5,600.0,1000.0,2.4000000000000004,37.37512408948202,1
300.0,0.5,600.0,1000.0,4.199999999999999,65.19724003243046,1
1500.0,4.5,540.0,1000.0,6.0,470.1955037217837,1
1500.0,2.0,540.0,1000.0,0.6000000000000001,29.42197000002999,1
3000.0,5.0,480.0,500.0,3.0,251.217609060534,1
300.0,4.5,600.0,3000.0,2.4000000000000004,190.26679805695204,1
300.0,5.0,600.0,3000.0,3.6,299.84818389380155,1
3000.0,1.0,480.0,500.0,1.7999999999999998,52.73070662240457,1
300.0,4.5,540.0,2500.0,3.6,283.9802333626005,1
600.0,2.0,360.0,500.0,4.199999999999999,185.19150184192188,1
600.0,2.5,360.0,500.0,6.0,249.9910198439068,1
2100.0,2.5,540.0,1000.0,4.199999999999999,239.1736783759023,1
300.0,4.5,600.0,3500.0,6.0,475.6645174410003,1
300.0,4.0,600.0,3500.0,5.4,403.526471060944,1
900.0,4.0,360.0,500.0,4.800000000000001,308.1269043352955,1
300.0,2.0,600.0,3500.0,1.7999999999999998,88.63685641171605,1
600.0,3.5,540.0,1000.0,3.6,242.56378956339665,1
1800.0,5.0,480.0,1000.0,3.6,299.5552831217083,1
1800.0,3.0,480.0,1000.0,5.4,342.42310162928084,1
1800.0,4.0,360.0,500.0,5.4,359.9999999836288,1
1800.0,3.0,360.0,500.0,6.0,359.99991860536954,1
900.0,4.0,480.0,1000.0,3.6,263.9595570349919,1
300.0,1.5,360.0,500.0,6.0,163.36641017866668,1
300.0,1.0,540.0,3000.0,3.0,87.38160802867459,1
600.0,2.0,300.0,500.0,4.199999999999999,185.18261220745285,1
2100.0,3.0,600.0,1500.0,3.6,230.08075280702184,1
1500.0,4.5,600.0,1500.0,2.4000000000000004,190.45395796021148,1
2100.0,0.5,600.0,1500.0,4.199999999999999,67.74614334790624,1
300.0,2.0,600.0,2000.0,2.4000000000000004,116.86187862755408,1
2100.0,0.5,600.0,1500.0,4.800000000000001,77.38882015797368,1
1500.0,1.5,600.0,1500.0,0.6000000000000001,24.04936061300538,1
2700.0,5.0,600.0,1500.0,2.4000000000000004,201.6657091572492,1
1500.0,0.5,600.0,1500.0,3.0,48.2559278048179,1
1500.0,2.0,600.0,1500.0,6.0,294.07630305838694,1
300.0,1.0,600.0,1500.0,5.4,154.11682346471855,1
900.0,3.0,300.0,500.0,1.7999999999999998,111.316157452645,1
2100.0,2.0,360.0,500.0,1.2000000000000002,58.88630822321651,1
300.0,4.5,540.0,2000.0,1.2000000000000002,94.42712388714985,1
300.0,5.0,300.0,500.0,0.6000000000000001,45.88800714413355,1
2700.0,1.5,540.0,1000.0,3.0,120.57201740022036,1
300.0,3.0,300.0,500.0,4.800000000000001,180.3717415148149,1
2700.0,4.0,540.0,1000.0,6.0,449.5563435046949,1
1200.0,1.5,300.0,500.0,1.7999999999999998,70.83120129976363,1
1200.0,1.0,420.0,1000.0,0.6000000000000001,17.39871154416886,1
1200.0,2.0,300.0,500.0,6.0,285.5888022564085,1
1200.0,0.5,420.0,1000.0,3.6,57.4184688921624,1
