Experiment,Reaction,Mg-glutamate (mM),K-glutamate (mM),DTT (mM),Amino acids (mM),HEPES (pH),ATP (mM),GTP (mM),CTP (mM),UTP (mM),tRNA (mg/mL),CoA (mM),NAD (mM),cAMP (mM),Folinic acid (mM),Spermidine (mM),3-PGA (mM),DNA (ug/mL),PEG-8000 (mg/mL),Protease inhibitor (mM),Cell-free protein (mg/mL),deltaFEU,Time to peak (min),Max rate (FEU/min),Rate lag (min),Inflection (min)
DSD2,9,11,120,4.5,70,8,1.5,1.5,0.9,1.7,0.05,0.065,0.335,0.755,0.03,1.1,60,60,60,0,6.675,7.857142857,748,1.125,160,15
DSD2,10,11,180,4.5,70,9,2.5,0.5,1.7,0.9,0.15,0.195,0.335,0.755,0.05,1.1,30,60,60,0,6.675,2,756,0.725,148,195
DSD2,11,11,120,4.5,30,9,2.5,0.5,0.9,1.7,0.15,0.065,0.335,1.505,0.01,1.1,30,60,20,0,4.45,110.4570929,700,1.54999875,108,20
DSD2,12,11,120,1.5,30,8,2,1.5,1.7,1.7,0.15,0.065,0.665,0.755,0.05,1.1,30,60,60,0,2.225,9.285714286,708,1.15,140,10
DSD2,13,11,120,1.5,30,8.5,2.5,1.5,1.7,1.7,0.05,0.195,0.335,1.505,0.05,0.1,30,60,60,0,2.225,34.7,312,1,132,85
DSD2,14,5,240,3,30,8,1.5,0.5,1.7,0.9,0.15,0.065,0.335,1.505,0.05,0.1,30,60,60,0,6.675,15.1,648,0.775,180,5
DSD2,15,11,120,4.5,30,8,1.5,0.5,1.3,1.7,0.15,0.195,0.665,0.755,0.05,0.1,60,60,20,0,6.675,119.5856643,500,1.474995,156,110
DSD2,16,11,240,1.5,30,9,2.5,0.5,0.9,1.7,0.05,0.195,0.335,0.755,0.01,0.1,45,60,60,0,6.675,44.3015873,752,1.2,684,275
DSD2,17,5,120,1.5,30,9,1.5,1.5,0.9,0.9,0.15,0.195,0.335,0.755,0.05,1.1,30,60,20,0,6.675,9.071428571,180,1.2,84,20
DSD2,18,5,240,1.5,30,9,2.5,0.5,1.7,0.9,0.15,0.195,0.665,1.505,0.03,0.1,30,60,20,0,2.225,2.428571429,752,1.025,740,15
DSD2,19,8,240,4.5,70,9,2.5,1.5,1.7,1.7,0.15,0.195,0.665,1.505,0.05,1.1,60,60,60,0,6.675,18.25714286,744,0.775,368,15
DSD2,20,5,240,4.5,70,9,2,0.5,0.9,0.9,0.05,0.195,0.335,1.505,0.01,0.1,60,60,20,0,6.675,6.314285714,460,0.975,92,20
DSD2,21,5,240,1.5,70,8,1.5,1.5,1.7,0.9,0.05,0.195,0.665,0.755,0.05,0.1,60,60,60,0,4.45,0,0,0.75,96,5
DSD2,22,5,120,4.5,70,8,1.5,1.5,1.7,0.9,0.15,0.065,0.665,1.505,0.05,1.1,45,60,20,0,2.225,6.885714286,556,0.96031746,0,50
DSD2,23,5,180,1.5,30,8,1.5,1.5,0.9,1.7,0.05,0.065,0.665,1.505,0.01,0.1,60,60,20,0,2.225,1.128571429,20,0.875,552,10
DSD2,24,5,240,1.5,70,9,2.5,1.5,1.3,0.9,0.05,0.065,0.335,1.505,0.01,1.1,30,60,60,0,2.225,4.485714286,180,0.85,36,10
DSD2,25,11,240,4.5,30,8,2.5,1.5,0.9,0.9,0.15,0.065,0.665,0.755,0.01,0.1,30,60,60,0,6.675,108.4428071,724,1.5,580,10
